Gene.ID,FPKM.WT_D,FPKM.WT_DTL6h,FPKM.WT_WL
AT1G58350,3.801616383,3.702655536,5.720691807
AT1G58360,26.82426221,34.73336182,19.06866766
AT1G58370,1.660293185,1.692597167,1.447954038
AT1G58380,33.828411,33.54958141,18.59259632
AT1G58390,0,0,0
AT1G58400,0.728802239,0.74575196,0.784396805
AT1G58410,0.741021122,0.612520404,0.221374771
AT1G58420,0.069089246,0.103879912,0.489460938
AT1G58430,0,0,0
AT1G58440,34.0121965,34.35877885,12.12943299
AT1G58450,0,0,0
AT1G58460,0,0.020907893,0.026077163
AT1G58470,5.828353947,5.135345139,1.153213166
AT1G58520,3.455726215,4.980027852,4.952752659
AT1G58525,0,0,0
AT1G58590,7.703051443,9.623359168,3.989513602
AT1G58602,0.462617596,1.140985235,13.38357099
AT1G58643,0.051800593,0.012115501,0.143553916
AT1G58684,164.1649448,213.6951472,183.7908498
AT1G58725,0.014586274,0.409385326,0.468051636
AT1G58766,0,0,0
AT1G58807,0.966165925,4.396025172,10.29298761
AT1G58808,0,0,0.015530925
AT1G58848,1.167000434,5.338814766,10.24158551
AT1G58936,0.0642455,0.015026207,0.187412873
AT1G58983,173.9184045,225.8603823,196.8276725
AT1G59030,0.014875226,0.43489081,0.488171922
AT1G59077,0,0,0
AT1G59124,1.012064544,4.586573272,10.88546202
AT1G59171,0,0,0.022741712
AT1G59218,1.03725058,4.531345585,9.024700098
AT1G59312,0.041440475,0.012115501,0.135998447
AT1G59359,158.9471128,207.4483459,178.7738304
AT1G59406,0.014586274,0.383798743,0.41486395
AT1G59453,0,0,0
AT1G59460,0,0,0
AT1G59470,0,0,0
AT1G59500,0.0156961,0,0.007631277
AT1G59510,3.198283754,2.995904559,0.803488642
AT1G59520,5.154939953,4.144840386,2.886753273
AT1G59530,0.054255882,0.021149603,0.026378633
AT1G59540,0.410606787,0.373031287,1.197795917
AT1G59550,0,0,0
AT1G59560,1.725290808,1.549958259,1.199898655
AT1G59570,0,0.267723026,0
AT1G59580,16.84377157,13.66726046,9.633444479
AT1G59590,6.122494843,3.434186562,2.431343747
AT1G59600,1.565488199,1.059491548,1.778114545
AT1G59610,15.36087975,17.70394656,12.82972976
AT1G59620,0.810928775,0.755757022,0.942610445
AT1G59630,0,0,0
AT1G59640,0.33377891,0.124196942,0.132774346
AT1G59650,8.847074781,7.970173529,3.636541812
AT1G59660,2.575911081,1.3637465,1.031891034
AT1G59670,0.010851176,0.025379524,0
AT1G59675,0,0,0
AT1G59680,0,0,0
AT1G59690,0,0,0
AT1G59700,0.985391076,2.373064506,11.71732292
AT1G59710,7.08151031,5.958924248,6.868123512
AT1G59720,2.156117531,6.014747404,2.78793472
AT1G59722,0,0,0
AT1G59723,0,0,0
AT1G59724,0,0,0
AT1G59725,0.049662791,0.058077482,0.181091407
AT1G59730,0.029332086,0,0.513394138
AT1G59740,0.43360475,2.803816687,2.548369454
AT1G59750,20.86358891,18.17333565,10.93028433
AT1G59760,7.126822128,9.002451526,9.436702966
AT1G59780,0.157956606,0.195377159,0.20380695
AT1G59790,0,0.008515628,0
AT1G59800,0,0,0
AT1G59810,0.019781386,0.011566537,0.072131245
AT1G59820,10.79016845,10.34597853,6.789525022
AT1G59830,13.87666761,12.89454897,11.501441
AT1G59833,0,0,0
AT1G59835,0,0,0
AT1G59840,1.364716786,3.474141198,5.875590698
AT1G59850,0.88355581,0.530785496,0.970958181
AT1G59860,0.227420579,0.435197341,0.105543582
AT1G59865,0.075797584,0.088640463,0.184259897
