Gene.ID,WTD_N_F.FC,WTD_N_F.p,WTD_N_F.q,WTDL_N_F.FC,WTDL_N_F.p,WTDL_N_F.q,WTWL_N_F.FC,WTWL_N_F.p,WTWL_N_F.q
AT1G02060,-1.579054253,3.32E-06,1.37E-05,-0.734576352,0.036152361,0.06791057,-2.425410072,0.000308904,0.000925399
AT1G02065,-1.11601535,0.365677585,0.486033032,3.823433059,0.012290357,0.026285571,1.885534382,0.164956736,0.253144637
AT1G02067,-0.661678757,0.943122342,NA,0,1,NA,0,1,NA
AT1G02070,0.012207588,0.995657284,NA,0.164575644,0.948133824,NA,3.980951033,0.095629884,NA
AT1G02080,-1.199798962,2.38E-49,1.02E-47,-1.321063478,4.20E-70,5.54E-68,-1.763787364,1.82E-78,1.41E-76
AT1G02090,0.385194653,0.040647101,0.078157478,0.435851422,0.001998057,0.005122696,1.039386126,1.15E-09,6.45E-09
AT1G02100,0.766174693,3.86E-08,2.02E-07,0.0101747,0.940227329,0.955399329,-0.430189911,0.01653722,0.035332317
AT1G02110,-1.176535767,2.17E-07,1.03E-06,-0.379287934,0.094285384,0.154920565,-0.488241843,0.088946222,0.151878255
AT1G02120,-1.767654177,4.42E-36,1.22E-34,-1.481486385,4.27E-27,9.77E-26,-1.651097268,8.31E-17,7.61E-16
AT1G02130,0.142331971,0.363730757,0.484058402,0.457913308,0.001022759,0.002789675,1.493415411,3.97E-19,4.17E-18
AT1G04087,-1.202052626,0.896788415,NA,1.126324415,0.903343496,NA,0,1,NA
AT1G02136,-2.163812429,0.815367218,NA,-0.797186233,0.931504932,NA,0.784834808,0.932471912,NA
AT1G02140,1.930737558,7.25E-38,2.11E-36,1.020376337,3.72E-18,4.78E-17,2.266386452,1.02E-74,7.16E-73
AT1G02145,-1.65827068,8.11E-21,1.09E-19,-1.618463086,3.01E-24,5.74E-23,-1.494363983,4.00E-13,2.90E-12
AT1G02150,0.235428225,0.057581134,0.105592658,-0.234186121,0.052329285,0.093534184,0.139609636,0.275767605,0.38330471
AT1G02160,1.783036325,2.05E-11,1.49E-10,1.819654334,9.81E-12,7.28E-11,2.762519178,1.79E-27,2.78E-26
